dataset_index,title,cluster_id,title_length,cluster_label
0,How to Wash Your Hands the Right Way,3,36,School & Friendship
1,Brushing My Teeth Before Bed,12,28,Animals & Food
2,Tying My Shoelaces by Myself,10,28,Animals & Family
3,Combing and Styling My Hair,12,27,Animals & Food
4,Taking a Bath Safely,12,20,Animals & Food
5,Folding Laundry with a Grown-Up,3,31,School & Friendship
6,Wiping the Table After Meals,3,28,School & Friendship
7,Cleaning Up My Toys,3,19,School & Friendship
8,Watering House Plants,12,21,Animals & Food
9,Feeding My Pet the Right Amount,9,31,Animals & Family
10,Sorting Garbage for Recycling,8,29,School & Friendship
11,Using a Napkin While Eating,12,27,Animals & Food
12,Setting the Table for Dinner,9,28,Animals & Family
13,Making My Bed Each Morning,4,26,Animals & Family
14,Wiping My Mouth After Eating,12,28,Animals & Food
15,Dressing Properly for Cold Weather,12,34,Animals & Food
16,Checking the Weather Before Going Out,4,37,Animals & Family
17,Keeping My Books in Order,8,25,School & Friendship
18,Using Scissors Safely,10,21,Animals & Family
19,Washing My Face in the Morning,12,30,Animals & Food
20,Putting On My Socks the Easy Way,10,32,Animals & Family
21,Taking a Shower Without Splashing Everywhere,12,44,Animals & Food
22,Trimming My Fingernails,12,23,Animals & Food
23,How to Tie a Ponytail,10,21,Animals & Family
24,Buttoning and Zipping Clothes,10,29,Animals & Family
25,Loading the Dishwasher with Help,3,32,School & Friendship
26,Sweeping the Floor Carefully,3,28,School & Friendship
27,Packing My School Bag Neatly,8,28,School & Friendship
28,Wrapping a Gift for Someone,10,27,Animals & Family
29,Placing My Toys Back on the Shelf,10,33,Animals & Family
30,Taking Care of a Small Scratch,10,30,Animals & Family
31,Hanging Up My Jacket,4,20,Animals & Family
32,Flossing My Teeth Gently,12,24,Animals & Food
33,Washing Fruit Before Eating It,12,30,Animals & Food
34,Using a Tissue to Blow My Nose,12,30,Animals & Food
35,Sharing Toys with My Siblings,10,29,Animals & Family
36,Pouring a Drink Without Spilling,9,32,Animals & Family
37,Putting On and Taking Off a Face Mask,12,37,Animals & Food
38,Cleaning Hair from the Bathroom Floor,3,37,School & Friendship
39,Sorting My Clothes by Color,8,27,School & Friendship
40,Storing Leftover Food in the Fridge,9,35,Animals & Family
41,Wiping the Kitchen Counter After Cooking,3,40,School & Friendship
42,Polishing My Shoes,3,18,School & Friendship
43,Brushing My Pet’s Fur,12,21,Animals & Food
44,Locking Doors Before Leaving Home,4,33,Animals & Family
45,Folding a T-Shirt Nicely,10,24,Animals & Family
46,Using a Step Stool Safely,4,25,Animals & Family
47,Washing Dishes by Hand,3,22,School & Friendship
48,Checking If My Shoes Are on the Correct Feet,4,44,Animals & Family
49,Drying My Hands with a Towel,3,28,School & Friendship
50,Washing Fruit Properly to Remove Germs,3,38,School & Friendship
51,Charging My Gadget Safely,10,25,Animals & Family
52,Tucking in My Shirt,4,19,Animals & Family
