label,text,text_length,text_selection_strategy,text_selection_info,similar_story_1,similarity_score_1,story_1_length,similar_story_2,similarity_score_2,story_2_length,similar_story_3,similarity_score_3,story_3_length
Food selectivity,"***[child's name] starting from 18 months had a lot [silence] he was a child who ate everything. He was a big fan of broccoli [silence] and from one day to the next decided that he would only eat pasta, ground beef, and green beans. But frozen, without butter, it couldn't be canned. Especially not fresh, without seasoning, no salt,One day, a little boy wanted to eat some delicious food. He went to get his fork from the kitchen drawer but his mom said no. She said it was too deep for him. He decided to reach his hand inside the drawer and grab the fork.

But the drawer was too deep and he couldn't reach. He started to cry. He wanted the fork so badly. Suddenly, his mom came over and said she was sorry. She had made a mistake and he could have the fork.

The little boy was so happy, but soon he started to regret his decision. He had found out the hard way that you should always listen to your mom!, saying it's strange. Anything with a cake-like texture was out of the question. Anything like yogurt. A lot of eating disorders eventually. It always had to be the same thing, and when it wasn't, the plate would fly, he would scream, he would have huge tantrums.",667,first,first of 7,"Once upon a time, there was a boy named Timmy. Timmy loved to whistle all day long. He would whistle while he played, while he ate, and even while he slept. One day, Timmy's mom made him some cookies. Timmy took a bite and said, ""Mom, these cookies don't taste regular. They taste funny."" His mom said, ""Timmy, I put a special ingredient in them. They are healthier for you.""

Timmy didn't like the taste of the cookies and he stopped whistling. He didn't want to eat anything that didn't taste regular. His mom explained to him that sometimes things that are good for us don't always taste the same as what we are used to. She reminded him that it's important to try new things and not always stick to the same old regular things.

From that day on, Timmy tried new foods and even started to like some of them. He also learned that just because something doesn't taste regular, it doesn't mean it's not good for you. He continued to whistle all day long, but now he did it with a smile on his face, knowing that he was trying new things and growing up to be a big boy.",0.4128,1069,"One day, a little boy wanted to eat some delicious food. He went to get his fork from the kitchen drawer but his mom said no. She said it was too deep for him. He decided to reach his hand inside the drawer and grab the fork.

But the drawer was too deep and he couldn't reach. He started to cry. He wanted the fork so badly. Suddenly, his mom came over and said she was sorry. She had made a mistake and he could have the fork.

The little boy was so happy, but soon he started to regret his decision. He had found out the hard way that you should always listen to your mom!",0.4121,575,"Once upon a time, there was a little girl named Lily. She loved to eat healthy food like apples and carrots. One day, her mom made her a sandwich with lots of veggies inside. It was so healthy and delicious that it made Lily very happy.

Later that day, Lily went to her playroom and found a surprise waiting for her. Her dad had made her a big triangle puzzle! Lily was so excited to put the pieces together and see the finished puzzle. She worked very hard and finally completed it.

Lily was so proud of herself and showed her parents the finished triangle puzzle. They were very happy and surprised at how well she did. From that day on, Lily loved eating healthy food and playing with puzzles.",0.3982,698
Pica,"Me, she eats everything. So I try [thinking] I avoid it. In her stools, I find everything. Stones, so I avoid it.",113,first,first of 1,"Once upon a time, in a small town, there lived a fearful little girl named Lily. She was scared of many things, but most of all, she was scared of slipping. One day, she went for a walk with her mom. 

As they walked, Lily saw a pattern on the ground. The pattern was made of pretty stones. ""Look, Mom!"" she said, ""I like this pattern!"" Her mom smiled and said, ""Yes, it is very nice, Lily.""

As they kept walking, Lily saw a wet spot on the ground. She was scared to slip. ""Mom, I am scared,"" she said. Her mom held her hand and said, ""Don't worry, Lily. I am here with you. We can walk around it."" So, they walked around the wet spot and Lily did not slip. She was happy and not fearful anymore.",0.3564,697,"Once upon a time, there was a little girl named Lily. She had a big wardrobe in her room. She loved to play hide and seek in it. One day, Lily's mom asked her to clean her room. Lily didn't want to, she wanted to play instead. 

But then, Lily saw her mom's sad face. She asked her mom what was wrong. Her mom told her that she lost her favorite necklace. Lily felt sad for her mom. She wanted to help her find it. 

Lily remembered that she saw something shiny in her wardrobe. She went to check and found her mom's necklace. Her mom was grateful and hugged her tight. Lily felt happy that she could help her mom. She learned that helping others can make them happy and that made her happy too.",0.3549,695,"Once upon a time, there was a little girl named Lily. She loved to eat healthy food like apples and carrots. One day, her mom made her a sandwich with lots of veggies inside. It was so healthy and delicious that it made Lily very happy.

Later that day, Lily went to her playroom and found a surprise waiting for her. Her dad had made her a big triangle puzzle! Lily was so excited to put the pieces together and see the finished puzzle. She worked very hard and finally completed it.

Lily was so proud of herself and showed her parents the finished triangle puzzle. They were very happy and surprised at how well she did. From that day on, Lily loved eating healthy food and playing with puzzles.",0.345,698
Food selectivity ,"Then it was everything related to food. Everything had to be soft, pureed. Until the age of four, it was the bottle. So at school, he hardly ate anything. It was very complicated. And even now, it has to always be the same brand. He can tell if it's ***[brand name] gnocchi or not. And in that case, he throws himself on the floor. He won't eat gnocchi that isn't ***[brand name]. And even the sauce. And actually, it will always be the same meal, the same steak that I can have for lunch and dinner for days and days and weeks and weeks. The fridge has to be filled with the same thing. It can be ***[brand name] for months and months, and then we can switch to ***[brand name]. Because there might be a frustration or something that has changed. Often, we'll try to deviate, but it's usually always the same thing. It's really specific flavors.",846,first,first of 4,"One day, a little boy wanted to eat some delicious food. He went to get his fork from the kitchen drawer but his mom said no. She said it was too deep for him. He decided to reach his hand inside the drawer and grab the fork.

But the drawer was too deep and he couldn't reach. He started to cry. He wanted the fork so badly. Suddenly, his mom came over and said she was sorry. She had made a mistake and he could have the fork.

The little boy was so happy, but soon he started to regret his decision. He had found out the hard way that you should always listen to your mom!",0.3522,575,"Once upon a time, there was a boy named Timmy. Timmy loved to whistle all day long. He would whistle while he played, while he ate, and even while he slept. One day, Timmy's mom made him some cookies. Timmy took a bite and said, ""Mom, these cookies don't taste regular. They taste funny."" His mom said, ""Timmy, I put a special ingredient in them. They are healthier for you.""

Timmy didn't like the taste of the cookies and he stopped whistling. He didn't want to eat anything that didn't taste regular. His mom explained to him that sometimes things that are good for us don't always taste the same as what we are used to. She reminded him that it's important to try new things and not always stick to the same old regular things.

From that day on, Timmy tried new foods and even started to like some of them. He also learned that just because something doesn't taste regular, it doesn't mean it's not good for you. He continued to whistle all day long, but now he did it with a smile on his face, knowing that he was trying new things and growing up to be a big boy.",0.3503,1069,"Once upon a time, there was a little squirrel named Sammy. Sammy lived in a big tree with his family. One day, Sammy found a big acorn on the ground. He was so happy because he loved to eat acorns. 

Sammy decided to cook the acorn, so he took it back to his tree. He put the acorn in a pot and added some water. Then he put the pot on the stove and turned on the heat. Sammy watched the acorn cook and he was very excited to eat it.

But when Sammy tasted the acorn, he was sad. It didn't taste very good. Sammy realized that he should have just eaten the acorn raw. From then on, Sammy never cooked acorns again.",0.3236,614
Food separation,"When it comes to food, he preferred not to mix but to eat separately.",69,first,first of 2,"Once upon a time, there was a boy named Timmy. Timmy loved to whistle all day long. He would whistle while he played, while he ate, and even while he slept. One day, Timmy's mom made him some cookies. Timmy took a bite and said, ""Mom, these cookies don't taste regular. They taste funny."" His mom said, ""Timmy, I put a special ingredient in them. They are healthier for you.""

Timmy didn't like the taste of the cookies and he stopped whistling. He didn't want to eat anything that didn't taste regular. His mom explained to him that sometimes things that are good for us don't always taste the same as what we are used to. She reminded him that it's important to try new things and not always stick to the same old regular things.

From that day on, Timmy tried new foods and even started to like some of them. He also learned that just because something doesn't taste regular, it doesn't mean it's not good for you. He continued to whistle all day long, but now he did it with a smile on his face, knowing that he was trying new things and growing up to be a big boy.",0.4069,1069,"Once upon a time, in a quiet little town, there was a vendor named Tom. Tom sold yummy fruits and vegetables. Every day, people came to buy his fresh food.

One day, a little girl named Lily came to Tom's shop. She said, ""Hi, Tom! I want to buy some fruits, please."" Tom smiled and gave her some apples and bananas. Lily was happy.

Before eating the fruits, Lily remembered to clean them. She washed the apples and bananas with water. Then, she shared the fruits with her friends. They all enjoyed the tasty and clean fruits. And every time they wanted fruits, they went to Tom the vendor.",0.3711,590,"One day, a little bug went to find food. The sun was mild and the bug was happy. The bug saw a big, red apple. The bug thought, ""This apple will be good food for me and my family.""

The bug went inside the apple. The bug ate and ate. The bug was very full. The bug said, ""This apple is the best food I have ever had.""

But as the bug ate, a big bird saw the apple. The bird was hungry too. The bird flew down and picked up the apple. The bug was still inside the apple. The bird ate the apple with the bug inside. The bird did not know the bug was there. The bug was gone, and the bird flew away.",0.3692,596
Food rigidity,"As for food, it's very rigid, and at the slightest change, he develops tantrums. So it's very complicated.",106,first,first of 1,"John saw something very interesting. It was a gray rock leaning against the wall. He wanted to touch it, so he got closer and reached out. Suddenly, the rock started to move and John saw it was a small animal! It was a little gray mouse with pink eyes.

John was very excited and wanted to give the mouse something to eat. He reached into his pocket, and found a small cup of yogurt that his mom had given him. He opened the cup, and set it down for the mouse.

The mouse started to eat the yogurt, and John smiled. He leaned down, and gently petted the mouse as it finished its snack. Then, the mouse scampered away, leaving John wondering if he would ever see it again.",0.3168,671,"One day, a little boy named Tim went to the store with his mom. They needed to buy some food for dinner. Tim could see many things in the store. There were fruits, vegetables, and many other things to eat. Tim's mom said they needed to find some rice.

Tim and his mom looked around the store. They saw a big shelf with lots of rice bags on it. Tim could see that there was a lot of rice available. His mom picked up a bag and put it in their cart.

After they got the rice, Tim and his mom went to the checkout. They paid for the rice and went home. That night, they cooked the rice for dinner. Tim was happy that they found the rice at the store.",0.3136,648,"One day, a little boy wanted to eat some delicious food. He went to get his fork from the kitchen drawer but his mom said no. She said it was too deep for him. He decided to reach his hand inside the drawer and grab the fork.

But the drawer was too deep and he couldn't reach. He started to cry. He wanted the fork so badly. Suddenly, his mom came over and said she was sorry. She had made a mistake and he could have the fork.

The little boy was so happy, but soon he started to regret his decision. He had found out the hard way that you should always listen to your mom!",0.313,575
Spicy preference,"My daughter also needs to eat spicy things. The other day, she went out and bought the hottest pepper in the world or something.",128,first,first of 1,"Once upon a time, there was a girl named Lily. She loved to play outside in the sun. One day, her mom gifted her a new toy. It was a big, blue ball. Lily was so happy and hugged her mom. 

Later that day, Lily's mom asked her if she wanted to help cook dinner. Lily was excited and said yes. They made spaghetti with tomato sauce. Lily helped stir the sauce and put the noodles in the pot. 

After dinner, Lily went outside to play with her new ball. She kicked it back and forth with her friends until the sun went down. Then, she went inside and went to bed, dreaming of all the fun she would have tomorrow.",0.3554,609,"Once upon a time, there was a little girl named Lily. She loved to go on picnics with her family. One day, they went to the park to have a picnic. Her mom packed a cooler with yummy food and drinks.

Lily was so excited to eat the yummy food and drink the cold drinks. But, she noticed that the cooler was empty. She felt sad and disappointed. Her mom told her not to worry and that they would fill the cooler with ice and drinks soon.

After a little while, Lily's dad went to get some ice and drinks to fill the cooler. When he came back, he filled the cooler with ice and drinks. Lily felt happy and calm again. She ate the yummy food and drank the cold drinks with her family. It was the best picnic ever!",0.3372,709,"Sally was hot. She went outside to play, but the heat was unbearable. She began to complain about how hot it was. She didn't want to play any more. She asked her mom for her wallet so she could buy something cold. 

Mom gave her a wallet and Sally went over to the store. She bought an ice cream and sat down on a bench. She opened her wallet, looking for coins. She only had just enough for her ice cream. 

Sally took a lick of her ice cream and smiled. Now, she wasn't so hot anymore. She happily ate her ice cream while she watched the other people pass by. She was so thankful that her mom had given her the wallet so she could get something cold.",0.3241,652
Fruits preference,"With ***[child's name], he needs to know what's going to be for meals. All the time, he asks, ""Mom, what are you going to make for dinner? Mom, what are we going to eat?"" He doesn't care about the others; for him, it seems very important, and it's true that he loves to eat, he's like that. He eats, he eats, he eats, a lot of fruit. He loves fruit, he always needs to have a fruit with every meal. He likes the sensation of fruit, I don't know why, the different tastes of fruits.",481,first,first of 1,"Once upon a time, in a quiet little town, there was a vendor named Tom. Tom sold yummy fruits and vegetables. Every day, people came to buy his fresh food.

One day, a little girl named Lily came to Tom's shop. She said, ""Hi, Tom! I want to buy some fruits, please."" Tom smiled and gave her some apples and bananas. Lily was happy.

Before eating the fruits, Lily remembered to clean them. She washed the apples and bananas with water. Then, she shared the fruits with her friends. They all enjoyed the tasty and clean fruits. And every time they wanted fruits, they went to Tom the vendor.",0.4633,590,"Once upon a time, there was a little girl named Lily. She loved to eat healthy food like apples and carrots. One day, her mom made her a sandwich with lots of veggies inside. It was so healthy and delicious that it made Lily very happy.

Later that day, Lily went to her playroom and found a surprise waiting for her. Her dad had made her a big triangle puzzle! Lily was so excited to put the pieces together and see the finished puzzle. She worked very hard and finally completed it.

Lily was so proud of herself and showed her parents the finished triangle puzzle. They were very happy and surprised at how well she did. From that day on, Lily loved eating healthy food and playing with puzzles.",0.4477,698,"One day, a little boy named Tim went to the store with his mom. They needed to buy some food for dinner. Tim could see many things in the store. There were fruits, vegetables, and many other things to eat. Tim's mom said they needed to find some rice.

Tim and his mom looked around the store. They saw a big shelf with lots of rice bags on it. Tim could see that there was a lot of rice available. His mom picked up a bag and put it in their cart.

After they got the rice, Tim and his mom went to the checkout. They paid for the rice and went home. That night, they cooked the rice for dinner. Tim was happy that they found the rice at the store.",0.4467,648
Body signal,"Actually, there is a problem with sensations and satiety with my daughters.",75,first,first of 2,"Once upon a time, there was a little girl named Lily. She loved to help her mom in the kitchen. One day, while her mom was baking a cake, Lily asked, ""Mommy, can I help you mix the batter with the teaspoon?"" Her mom smiled and said, ""Sure, Lily. You are such a smart girl.""

As they were mixing the batter, Lily's mom accidentally dropped the teaspoon on her toe. Lily asked, ""Mommy, are you okay? Did you suffer from the teaspoon?"" Her mom nodded and said, ""Yes, Lily. I did suffer a little bit, but it's okay. Accidents happen.""

Lily felt bad that her mom got hurt, so she hugged her tightly and said, ""I'm sorry, Mommy. I will be more careful next time."" Her mom hugged her back and said, ""Thank you, Lily. You are a very helpful and kind girl."" From that day on, Lily made sure to be extra careful in the kitchen so that nobody would suffer from any accidents.",0.3044,865,"Once upon a time, there was a little girl named Lily. She had a favorite cloth she always carried with her. It was soft and pink, just like her favorite color. One day, Lily lost her cloth and she felt very sad. She looked everywhere for it but couldn't find it.

Lily's mom noticed how sad she was and gave her a big hug to comfort her. She told her they would look for the cloth together. They searched high and low until they found it under the bed. Lily was so happy she hugged her mom and her cloth tightly.

From that day on, Lily never let her cloth out of her sight. She felt happy knowing it was always with her. And whenever she felt sad, she would hold her cloth close and her mom would comfort her with a warm hug.",0.2748,726,"Once upon a time, there was a little girl named Lily. She loved to play with her toys, but they were always all over the place. One day, Lily decided to organize all of her toys by putting the dolls in one box and the blocks in another. It was hard work, but she felt proud when she was done.

Lily's mom noticed how much she loved to play with her toys and wanted to buy her more. But she knew that Lily was too little to carry heavy things. So, she bought her some little toys that were light in weight. Lily was so happy and played with her new toys all day long. 

After playing with her toys, Lily felt so lively and full of energy. She danced around her room and sang songs. She was so happy that she had organized her toys and had new ones to play with. From that day on, Lily made sure to keep all of her toys organized and to only play with toys that were light in weight.",0.2526,881
Rhythm,"She loved music. She knows the nursery rhymes by heart. She doesn't speak, but she follows the intonation of the music. [...] And when we play music, she is there.",163,first,first of 1,"Once upon a time, there was a pale girl named Lucy. She loved to play with her toy drum. She would match the sounds of the drum to the music she heard on the radio. Lucy had a lot of fun making her own music.

One day, Lucy went to the park with her drum. She saw a boy with a toy guitar. They decided to match their music together. Lucy played her drum and the boy played his guitar. The music they made was so much fun.

As they played, more kids came to listen. They all danced and laughed to the pale girl and the boy's music. Lucy was so happy that she could match her drum sounds with the boy's guitar. They all had a great day at the park.",0.4511,646,"Once upon a time, there was a little girl named Lily. She had a big wardrobe in her room. She loved to play hide and seek in it. One day, Lily's mom asked her to clean her room. Lily didn't want to, she wanted to play instead. 

But then, Lily saw her mom's sad face. She asked her mom what was wrong. Her mom told her that she lost her favorite necklace. Lily felt sad for her mom. She wanted to help her find it. 

Lily remembered that she saw something shiny in her wardrobe. She went to check and found her mom's necklace. Her mom was grateful and hugged her tight. Lily felt happy that she could help her mom. She learned that helping others can make them happy and that made her happy too.",0.4476,695,"Once upon a time, there was a little girl named Lily. She loved playing with her toys, especially her colorful magnets. One day, Lily's favorite magnet broke and she was very sad.

Lily went to her mom and said, ""Mommy, my magnet is broken. Can you fix it?"" Her mom replied, ""Let me see if I can match the broken pieces together."" Lily watched as her mom used glue to fix the magnet.

After a few minutes, Lily's mom said, ""There you go, Lily. Your magnet is fixed!"" Lily was so happy and hugged her mom. ""Thank you, Mommy! You fixed my magnet!"" she said. From that day on, Lily was extra careful with her magnets so they wouldn't break again.",0.4378,643
Noise sensitivity,"Very few things disturb him when it comes to noise, but the hand dryer traumatizes him. He's anxious at the thought of it. Yet, the hairdryer at home, when I use it on low power, it's okay, he comes closer. On high power, he moves away but isn't too disturbed. But the hand dryer is very distressing for him. And with noises, he always seeks the source. He needs to check where it's coming from. He can also be sensitive to a small noise on the window; he'll focus only on that noise when we're talking nearby. He detects all the sounds around him, always.",556,first,first of 12,"The boy was silly. He wanted to play, but there was a lot of dust. He didn't want to clean it up, so he decided to do something else. He picked up his hand, and slapped the dust. His hand sparkled with the dust as it flew away. He smiled and felt so happy. 

Then he heard a noise. It was his mom. He didn't want to get in trouble, so he ran away and hid. He stayed for a long time until the noise was gone. 

The boy looked around. Everything was still. He breathed a sigh of relief and made his way back to his room. He put his hands on his hips and laughed. Slapping the dust was silly!",0.2944,589,"One night, John was very scared in bed. He was 3 years old and he was all alone. He heard strange noises outside his room and he wanted to go to toilet. He decided to bravely go outside to find the toilet. He slowly walked down the stairs, but suddenly he realized something was wrong. The lights were on in the living room, but there wasn't anyone there. 
John was scared but he didn't want to turn back. He wanted to find the toilet. He quickly ran towards the kitchen, but suddenly he saw something that made him very scared.

John saw a big, black monster in the corner of the kitchen. He gasped and he quickly ran away. He ran back upstairs to his bedroom and locked the door. In the morning when his parents returned home, he told them what had happened. They realized that the monster he had seen must have been a burglar! John was very relieved that there was no big, scary monster.",0.2253,890,"Once there was a silly bear. He wanted to take a bath, but he did not know how. He looked around and saw a bench in the park. He thought that maybe if he jumped in the water he could bathe.

So he went to the bench. He tried to climb up on the bench but it was too slippery so he fell back in the grass. He tried again and this time he made it. He jumped off the bench and into the water. At first it was cold but soon it felt nice. He splashed himself all over and when he was done, he was squeaky clean.

He stepped out of the water and shook off all the water from his fur. Then he hopped back up on the bench and smiled. He was so happy he had figured out a way to bathe!",0.1875,675
