dataset_index,title,cluster_id,title_length
0,How to Wash Your Hands the Right Way,3,36
1,Brushing My Teeth Before Bed,12,28
2,Tying My Shoelaces by Myself,10,28
3,Combing and Styling My Hair,12,27
4,Taking a Bath Safely,12,20
5,Folding Laundry with a Grown-Up,3,31
6,Wiping the Table After Meals,3,28
7,Cleaning Up My Toys,3,19
8,Watering House Plants,12,21
9,Feeding My Pet the Right Amount,9,31
10,Sorting Garbage for Recycling,8,29
11,Using a Napkin While Eating,12,27
12,Setting the Table for Dinner,9,28
13,Making My Bed Each Morning,4,26
14,Wiping My Mouth After Eating,12,28
15,Dressing Properly for Cold Weather,12,34
16,Checking the Weather Before Going Out,4,37
17,Keeping My Books in Order,8,25
18,Using Scissors Safely,10,21
19,Washing My Face in the Morning,12,30
20,Putting On My Socks the Easy Way,10,32
21,Taking a Shower Without Splashing Everywhere,12,44
22,Trimming My Fingernails,12,23
23,How to Tie a Ponytail,10,21
24,Buttoning and Zipping Clothes,10,29
25,Loading the Dishwasher with Help,3,32
26,Sweeping the Floor Carefully,3,28
27,Packing My School Bag Neatly,8,28
28,Wrapping a Gift for Someone,10,27
29,Placing My Toys Back on the Shelf,10,33
30,Taking Care of a Small Scratch,10,30
31,Hanging Up My Jacket,4,20
32,Flossing My Teeth Gently,12,24
33,Washing Fruit Before Eating It,12,30
34,Using a Tissue to Blow My Nose,12,30
35,Sharing Toys with My Siblings,10,29
36,Pouring a Drink Without Spilling,9,32
37,Putting On and Taking Off a Face Mask,12,37
38,Cleaning Hair from the Bathroom Floor,3,37
39,Sorting My Clothes by Color,8,27
40,Storing Leftover Food in the Fridge,9,35
41,Wiping the Kitchen Counter After Cooking,3,40
42,Polishing My Shoes,3,18
43,Brushing My Pet’s Fur,12,21
44,Locking Doors Before Leaving Home,4,33
45,Folding a T-Shirt Nicely,10,24
46,Using a Step Stool Safely,4,25
47,Washing Dishes by Hand,3,22
48,Checking If My Shoes Are on the Correct Feet,4,44
49,Drying My Hands with a Towel,3,28
50,Washing Fruit Properly to Remove Germs,3,38
51,Charging My Gadget Safely,10,25
52,Tucking in My Shirt,4,19
53,Organizing Clean Clothes in the Closet,3,38
54,Writing a Short Thank-You Note,5,30
55,Drawing a Simple Daily Schedule,8,31
56,Carrying Small Items Carefully,10,30
57,Putting Toys into Boxes or Bins,10,31
58,Drawing a Bath at the Right Temperature,12,39
59,Keeping My Bedroom Tidy Every Day,3,33
60,Folding a Paper Airplane,10,24
61,Keeping My Toothbrush Clean,12,27
62,Preparing My School Supplies for Class,8,38
63,Sweeping Leaves Off the Porch,3,29
64,Cleaning Windows with a Cloth,3,29
65,Watering a Small Garden or Flower Pot,9,37
66,Picking Up Litter in the Yard,4,29
67,Making a Simple Snack by Myself,9,31
68,Arranging My Books by Size,8,26
69,Pouring My Own Cereal for Breakfast,9,35
70,Plugging and Unplugging Electronics Carefully,10,45
71,Storing Art Supplies in a Box,8,29
72,Filling Ice Cube Trays,9,22
73,Wiping My Shoes on a Doormat,3,28
74,Using a Disinfectant Wipe Correctly,3,35
75,Cutting Herbs with Kid-Safe Scissors,10,36
76,Tying a Simple Knot for Crafts,10,30
77,Using a Broom and Dustpan,3,25
78,Closing and Locking Windows,10,27
79,Rolling Up My Sleeves for Washing,3,33
80,Checking the Milk’s Expiration Date,12,35
81,Rolling Dough for Simple Cookies,10,32
82,Cleaning Up Spills to Avoid Slips,3,33
83,Labeling My School Supplies,8,27
84,Marking My Name on My Backpack,8,30
85,Turning On a Flashlight Safely,4,30
86,Cleaning the Bathroom Sink,3,26
87,Keeping Hair Out of My Face While Eating,12,40
88,Turning Off the Faucet Tightly,12,30
89,Changing the Toilet Paper Roll,10,30
90,Holding a Pencil the Right Way,10,30
91,Cutting Paper in a Straight Line,10,32
92,Washing Vegetables for a Salad,3,30
93,Sealing Leftovers in a Container,9,32
94,Handling Small Tools with Grown-Up Supervision,10,46
95,Folding a Towel Neatly,3,22
96,Listening for the Timer When Cooking,9,36
97,Using a Stapler Carefully,10,25
98,Looking for Things That Might Make Me Trip,6,42
99,Rinsing the Sink After Brushing My Teeth,12,40
100,Keeping My Glasses Clean,3,24
101,Eating with a Fork and Spoon the Right Way,9,42
102,Mopping Up a Minor Water Spill,3,30
103,Tasting Food Before Adding Extra Salt,9,37
104,Using a Safety Pin with an Adult’s Help,10,39
105,Double-Checking My Shoelaces Before Leaving,4,43
106,Hanging Up Wet Towels,3,21
107,Putting Dirty Laundry in a Hamper,3,33
108,Feeding a Goldfish the Correct Amount,9,37
109,Turning Off Lights to Save Energy,4,33
110,Dabbing Stains on My Clothes,3,28
111,Using a Bib for a Younger Sibling,10,33
112,Opening and Closing Car Doors Safely,10,36
113,Buckling My Seat Belt,4,21
114,Using a Reusable Water Bottle,10,29
115,Gently Wiping a Computer Screen,3,31
116,Bringing My Own Utensils for Lunch,9,34
117,Unpacking and Sorting Groceries,8,31
